"","UnderExpressed_HALLMARK_OXIDATIVE_PHOSPHORYLATION","OverExpressed_HALLMARK_OXIDATIVE_PHOSPHORYLATION","UnderExpressed_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","OverExpressed_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","UnderExpressed_HALLMARK_MITOTIC_SPINDLE","OverExpressed_HALLMARK_MITOTIC_SPINDLE","UnderExpressed_HALLMARK_COMPLEMENT","OverExpressed_HALLMARK_COMPLEMENT","UnderExpressed_HALLMARK_MYC_TARGETS_V1","OverExpressed_HALLMARK_MYC_TARGETS_V1","UnderExpressed_HALLMARK_APICAL_JUNCTION","OverExpressed_HALLMARK_APICAL_JUNCTION","UnderExpressed_HALLMARK_UV_RESPONSE_DN","OverExpressed_HALLMARK_UV_RESPONSE_DN","UnderExpressed_HALLMARK_MTORC1_SIGNALING","OverExpressed_HALLMARK_MTORC1_SIGNALING","UnderExpressed_HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","OverExpressed_HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","UnderExpressed_HALLMARK_P53_PATHWAY","OverExpressed_HALLMARK_P53_PATHWAY"
"1","ndufa2","mdh2","vim","col3a1","ezr","myo9b","f3","ctsl","npm1","eif3b","lima1","ptprc","anxa2","nfib","ddit4","ctsc","sod1",NA,"ddit4","pdgfa"
"2","cox5b","pmpca","emp3","col5a2","tuba4a","myh9","lgals3","ctss","eif3d","syncrip","hadh","zyx","f3","rnd3","slc1a5","plod2","gclc",NA,"s100a10","plxnb2"
"3","uqcrh","phyh","vegfa","col5a1",NA,"pafah1b1","s100a13","c1qa","snrpd1","ppm1g",NA,"nf2","efemp1","ythdc1","ddit3","cfp","cat",NA,"ccnd2","ctsd"
"4","ndufa6","grpel1","lgals1","fbn1",NA,"nf1",NA,"c1qc","eef1b2","hnrnpd",NA,"ptk2",NA,"ltbp1","tuba4a","acaca","prdx1",NA,"ddit3","rnf19b"
"5","uqcrc2",NA,NA,"col1a1",NA,"rasa1",NA,"ctsb","rpl18","dhx15",NA,"rasa1",NA,"col5a2","psat1","uso1","ndufa6",NA,"rpl18","ccnd3"
"6","cox6c",NA,NA,"fn1",NA,"trio",NA,"cblb","ranbp1","tyms",NA,"tgfbi",NA,"col1a2","mthfd2","pitpnb",NA,NA,"hbegf",NA
"7","ndufb8",NA,NA,"col6a3",NA,"smc3",NA,"plek","rps3","ddx21",NA,"fbn1",NA,"synj2","nupr1","atp2a2",NA,NA,"vamp8",NA
"8","cox6b1",NA,NA,"col1a2",NA,"abr",NA,"ctsc","cct4",NA,NA,"msn",NA,"map1b","egln3","cct6a",NA,NA,"hint1",NA
"9","cox4i1",NA,NA,"tgfbi",NA,"marcks",NA,"fn1","snrpd3",NA,NA,"bmp1",NA,"dyrk1a","slc7a11",NA,NA,NA,"nupr1",NA
"10","suclg1",NA,NA,"col7a1",NA,"ssh2",NA,"lrp1","psma7",NA,NA,"myh9",NA,"col3a1","sqstm1",NA,NA,NA,"slc7a11",NA
"11","ndufa7",NA,NA,"col6a2",NA,"rab3gap1",NA,"ctsd","psma6",NA,NA,"vcam1",NA,"nrp1","prdx1",NA,NA,NA,"fam162a",NA
"12","ndufb7",NA,NA,"cdh2",NA,"synpo",NA,"plat","cnbp",NA,NA,"nf1",NA,"dab2","tpi1",NA,NA,NA,"slc3a2",NA
"13","ndufa3",NA,NA,"bgn",NA,"dst",NA,"zfpm2","etf1",NA,NA,"actb",NA,"col1a1","asns",NA,NA,NA,"s100a4",NA
"14","etfa",NA,NA,"spp1",NA,"rasal2",NA,"lyn","rpl22",NA,NA,"cdk8",NA,"kalrn","etf1",NA,NA,NA,NA,NA
"15","timm9",NA,NA,"bmp1",NA,"pkd2",NA,"itgam","ywhaq",NA,NA,NA,NA,"nfkb1","fkbp2",NA,NA,NA,NA,NA
"16","timm8b",NA,NA,"timp3",NA,"arfgef1",NA,"jak2","rpl14",NA,NA,NA,NA,"itgb3","gclc",NA,NA,NA,NA,NA
"17","uqcrq",NA,NA,"vcam1",NA,"rock1",NA,"rhog","rps5",NA,NA,NA,NA,"apbb2","cd9",NA,NA,NA,NA,NA
"18","uqcr10",NA,NA,"cald1",NA,"rfc1",NA,"lipa","rps10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","acaa2",NA,NA,"ecm1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","etfb",NA,NA,"inhba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","cyb5r3",NA,NA,"dab2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","tomm22",NA,NA,"itga5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","mrpl11",NA,NA,"mgp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
